,k,alpha,beta,score_all,score_nonzero,Num_of_zero,final_k
0,5,0.001,0.001,0.6901472693447454,0.9885893317640947,80,5
1,5,0.001,0.01,0.6891652065325783,0.9871825931412608,80,5
2,5,0.001,0.05,0.6651704423051338,0.9528117146532997,80,5
3,5,0.001,0.1,0.6590290548210063,0.9440145920409009,80,5
4,5,0.001,0.3,0.6594322769727307,0.9445921805285061,80,4
5,5,0.001,0.5,0.6862282960862822,0.9829756673668366,80,2
6,5,0.01,0.001,0.691810344989551,0.9909715752553027,80,5
7,5,0.01,0.01,0.6811718453678272,0.9757326433647254,80,5
8,5,0.01,0.05,0.6628045327590378,0.9494227090872704,80,5
9,5,0.01,0.1,0.6566508099090108,0.9406079168966912,80,4
10,5,0.01,0.3,0.6652619476801728,0.9529427899202475,80,4
11,5,0.01,0.5,0.681775657176198,0.9765975629821215,80,3
12,5,0.05,0.001,0.6907222704187833,0.9894129819512302,80,5
13,5,0.05,0.01,0.6860086804520988,0.9826610828097633,80,5
14,5,0.05,0.05,0.6621054640170758,0.9484213403487842,80,5
15,5,0.05,0.1,0.6547246892430826,0.9378488791860372,80,5
16,5,0.05,0.3,0.6632845681300941,0.950110327321486,80,5
17,5,0.05,0.5,0.681843993243585,0.9766954497813515,80,3
18,5,0.1,0.001,0.6877322376404371,0.9851299620254911,80,5
19,5,0.1,0.01,0.6796321657551532,0.9735271563519761,80,5
20,5,0.1,0.05,0.663354952671214,0.9502111484209282,80,5
21,5,0.1,0.1,0.6560408046134403,0.9397341255273604,80,5
22,5,0.1,0.3,0.6616408523577547,0.9477558155394865,80,3
23,5,0.1,0.5,0.679175171653029,0.9728725431786632,80,3
24,5,0.3,0.001,0.6887207688142554,0.9865459661393388,80,5
25,5,0.3,0.01,0.6827686907323064,0.9780200164543849,80,5
26,5,0.3,0.05,0.6669431125719663,0.9553509450355192,80,5
27,5,0.3,0.1,0.6558546180165192,0.9394674258074465,80,5
28,5,0.3,0.3,0.6593554116667062,0.9444820761712278,80,5
29,5,0.3,0.5,0.6692925787229342,0.9587163965490679,80,3
30,5,0.5,0.001,0.6885772547970287,0.9863403920065545,80,5
31,5,0.5,0.01,0.6835942941218273,0.9792026375258606,80,5
32,5,0.5,0.05,0.6670645273757145,0.9555248635381857,80,5
33,5,0.5,0.1,0.6495501855470447,0.930436752270091,80,5
34,5,0.5,0.3,0.661208422238676,0.9471363886121575,80,4
35,5,0.5,0.5,0.6828031567351754,0.9780693866747107,80,4
36,8,0.001,0.001,0.6903106260377002,0.9888233291891382,80,5
37,8,0.001,0.01,0.6760420803898456,0.9683846016395086,80,8
38,8,0.001,0.05,0.6612228382601868,0.9471570385889162,80,7
39,8,0.001,0.1,0.653053833395358,0.9354554910798372,80,5
40,8,0.001,0.3,0.6632159162137427,0.9500119880899558,80,5
41,8,0.001,0.5,0.6814339036609424,0.9761080241629715,80,3
42,8,0.01,0.001,0.6884674158921876,0.9861830551969174,80,6
43,8,0.01,0.01,0.6802156880895452,0.9743630126688081,80,8
44,8,0.01,0.05,0.6535005055699562,0.9360953187893967,80,8
45,8,0.01,0.1,0.6558205665287797,0.9394186493520359,80,6
46,8,0.01,0.3,0.6666929709029498,0.9549926339961172,80,4
47,8,0.01,0.5,0.6648791302512674,0.952394429819383,80,4
48,8,0.05,0.001,0.6884529534763627,0.9861623387634384,80,7
49,8,0.05,0.01,0.6823399764452208,0.9774059122053164,80,8
50,8,0.05,0.05,0.6548594142452779,0.9380418636486414,80,8
51,8,0.05,0.1,0.6612521838958968,0.9471990742292575,80,8
52,8,0.05,0.3,0.6612862345877054,0.947247849544551,80,5
53,8,0.05,0.5,0.6631362571744953,0.9498978818986014,80,4
54,8,0.1,0.001,0.6889549438684491,0.9868814060818325,80,6
55,8,0.1,0.01,0.6741839324979108,0.965722930334845,80,8
56,8,0.1,0.05,0.6604212926254313,0.9460088786256177,80,8
57,8,0.1,0.1,0.6515307530210428,0.9332737813544666,80,7
58,8,0.1,0.3,0.665506205793498,0.9532926731636592,80,5
59,8,0.1,0.5,0.6805043244500618,0.9747764647527912,80,3
60,8,0.3,0.001,0.6881182188972055,0.9856828540959971,80,7
61,8,0.3,0.01,0.6752088869197229,0.967191108290414,80,8
62,8,0.3,0.05,0.6555024814901003,0.93896301402636,80,7
63,8,0.3,0.1,0.6612476044422176,0.9471925144712847,80,7
64,8,0.3,0.3,0.6593821060340569,0.9445203140487841,80,5
65,8,0.3,0.5,0.6636024668362385,0.9505656957383957,80,4
66,8,0.5,0.001,0.6846326309247829,0.9806899848382025,80,8
67,8,0.5,0.01,0.6713354074819738,0.9616426107174221,80,8
68,8,0.5,0.05,0.6610474020399477,0.9469057380572223,80,8
69,8,0.5,0.1,0.6502396455464905,0.9314243571341622,80,7
70,8,0.5,0.3,0.656331279016196,0.9401502104826592,80,6
71,8,0.5,0.5,0.6777993991374489,0.9709018420076971,80,4
72,10,0.001,0.001,0.6880390380284052,0.9855694328514993,80,6
73,10,0.001,0.01,0.6703416043063426,0.9602190548171935,80,10
74,10,0.001,0.05,0.6632805950122518,0.950104636098631,80,9
75,10,0.001,0.1,0.6515931231841522,0.9333631223989207,80,6
76,10,0.001,0.3,0.6682909977871416,0.9572816995329325,80,4
77,10,0.001,0.5,0.6649148856081696,0.9524456469522429,80,4
78,10,0.01,0.001,0.6895977010393172,0.9878021122995624,80,6
79,10,0.01,0.01,0.6729214147094885,0.9639144589081863,80,9
80,10,0.01,0.05,0.6618523017907975,0.9480587025651963,80,9
81,10,0.01,0.1,0.6537098001536049,0.9363951191389476,80,7
82,10,0.01,0.3,0.6596049226049349,0.9448394837313931,80,5
83,10,0.01,0.5,0.682163267598576,0.9771527887222846,80,3
84,10,0.05,0.001,0.6890823993648366,0.9870639774685498,80,6
85,10,0.05,0.01,0.6716679168417312,0.9621189079084258,80,10
86,10,0.05,0.05,0.6600491614333414,0.9454758258369484,80,9
87,10,0.05,0.1,0.6504799200681394,0.9317685341516591,80,6
88,10,0.05,0.3,0.6641355890072875,0.9513293572266551,80,5
89,10,0.05,0.5,0.6878999351064713,0.985370177314675,80,4
90,10,0.1,0.001,0.6876191469763363,0.9849679672904277,80,7
91,10,0.1,0.01,0.6710700523752798,0.9612625074564819,80,10
92,10,0.1,0.05,0.6593251136411058,0.9444386762967191,80,9
93,10,0.1,0.1,0.648809324336756,0.9293755186445424,80,8
94,10,0.1,0.3,0.6626211609883718,0.9491600414157758,80,6
95,10,0.1,0.5,0.6884447525172622,0.9861505914436459,80,3
96,10,0.3,0.001,0.6868311512142035,0.9838392166041292,80,8
97,10,0.3,0.01,0.6703182028906847,0.9601855338704401,80,10
98,10,0.3,0.05,0.6476110529798971,0.9276590758901229,80,10
99,10,0.3,0.1,0.6512273273471204,0.9328391445783076,80,8
100,10,0.3,0.3,0.6640954272273147,0.9512718281904778,80,6
101,10,0.3,0.5,0.6781610019825836,0.9714198136507277,80,4
102,10,0.5,0.001,0.6839330934644547,0.9796879446923271,80,8
103,10,0.5,0.01,0.6696880919420679,0.9592829425116108,80,10
104,10,0.5,0.05,0.6590652368708684,0.9440664203825954,80,9
105,10,0.5,0.1,0.6502242140806829,0.9314022526020592,80,8
106,10,0.5,0.3,0.6607278834785686,0.9464480493071389,80,5
107,10,0.5,0.5,0.6623134857814075,0.9487193174706647,80,4
108,20,0.001,0.001,0.6885542121913828,0.9863073850308998,80,7
109,20,0.001,0.01,0.6695412047367321,0.9590725365147783,80,13
110,20,0.001,0.05,0.6642254207349515,0.9514580351068225,80,10
111,20,0.001,0.1,0.6531227422898809,0.9355541984152348,80,7
112,20,0.001,0.3,0.6628134421461424,0.9494354711823121,80,4
113,20,0.001,0.5,0.666724148604238,0.9550372939466112,80,4
114,20,0.01,0.001,0.6874663796350806,0.9847491383961965,80,7
115,20,0.01,0.01,0.6684247300331466,0.9574732619393722,80,12
116,20,0.01,0.05,0.654918655487887,0.9381267227258923,80,9
117,20,0.01,0.1,0.6503766208347117,0.9316205649794519,80,7
118,20,0.01,0.3,0.6586651822518346,0.9434933691715468,80,5
119,20,0.01,0.5,0.6821798871464648,0.9771765951016929,80,3
120,20,0.05,0.001,0.6865797975352849,0.9834791694424352,80,7
121,20,0.05,0.01,0.6700921959188116,0.9598617941539734,80,11
122,20,0.05,0.05,0.6609778647502978,0.9468061305882645,80,9
123,20,0.05,0.1,0.6441786261175405,0.9227423563305309,80,8
124,20,0.05,0.3,0.6624218264869987,0.9488745082111061,80,4
125,20,0.05,0.5,0.6832234495859273,0.9786714277852473,80,5
126,20,0.1,0.001,0.6851782653225097,0.9814715692457572,80,8
127,20,0.1,0.01,0.6654418725841378,0.9532005201880893,80,12
128,20,0.1,0.05,0.6586728136028547,0.9435043005662513,80,10
129,20,0.1,0.1,0.648221828321372,0.9285339702981815,80,7
130,20,0.1,0.3,0.6636776497701915,0.9506733902113554,80,5
131,20,0.1,0.5,0.6779414928377435,0.9711053816324435,80,4
132,20,0.3,0.001,0.6859346727265476,0.9825550717434332,80,7
133,20,0.3,0.01,0.6652757933734825,0.9529626229403939,80,15
134,20,0.3,0.05,0.656698613508837,0.9406763923234691,80,9
135,20,0.3,0.1,0.6474127663302998,0.9273750436623213,80,9
136,20,0.3,0.3,0.6623315377377414,0.9487451756783865,80,7
137,20,0.3,0.5,0.6802826513865261,0.974458933067186,80,3
138,20,0.5,0.001,0.6834121389873254,0.9789417126034662,80,8
139,20,0.5,0.01,0.6641916416210888,0.9514096488085867,80,17
140,20,0.5,0.05,0.644573945279612,0.9233086243194443,80,12
141,20,0.5,0.1,0.6592192400183955,0.9442870194858098,80,9
142,20,0.5,0.3,0.658898446674469,0.943827504695861,80,7
143,20,0.5,0.5,0.6584615858751791,0.9432017311184997,80,7
